"","id","first_name","second_name","player_type","team_name","now_cost","total_points","points_per_game","status","bps","influence","creativity","threat","ict_index","news","news_added","photo","bonus","value_form","value_season","goals_scored","assists","clean_sheets","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus.1","element_type","team"
"461",71,"Sam","Surridge","FWD","Bournemouth",4400000,0,"0.0","n",0,"0.0","0.0","0.0","0.0","Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul","2019-08-07T20:00:14.104634Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/217331.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,4,3
"28",72,"Asmir","Begovic","GKP","Bournemouth",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/40349.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,3
"17",73,"Artur","Boruc","GKP","Bournemouth",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/18726.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,3
"20",74,"Mark","Travers","GKP","Bournemouth",4400000,0,"0.0","a",0,"0.0","0.0","0.0","0.0","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/229600.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,1,3
"270",75,"Ryan","Fraser","MID","Bournemouth",7300000,10,"2.5","a",37,"20.8","58.1","40.0","11.8","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/90105.jpg",0,"0.3","1.4",0,1,0,0,0,0,1,0,0,0,3,3
"271",76,"David","Brooks","MID","Bournemouth",6400000,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Ankle injury - Expected back 26 Oct","2019-07-31T21:00:14.727782Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/111317.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,3
"258",77,"Junior","Stanislas","MID","Bournemouth",6e+06,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Knee injury - Unknown return date","2019-06-25T11:30:06.990995Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/56872.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,3
"260",78,"Jordon","Ibe","MID","Bournemouth",4900000,2,"1.0","a",10,"1.0","0.3","0.0","0.1","",NA,"https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/103912.jpg",0,"0.1","0.4",0,0,0,0,0,0,0,0,0,0,3,3
"252",79,"Lewis","Cook","MID","Bournemouth",5e+06,0,"0.0","i",0,"0.0","0.0","0.0","0.0","Lack of match fitness - Unknown return date","2019-06-25T11:30:07.007116Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/155408.jpg",0,"0.0","0.0",0,0,0,0,0,0,0,0,0,0,3,3
"242",80,"Andrew","Surman","MID","Bournemouth",4900000,2,"1.0","a",6,"4.4","1.4","0.0","0.6","","2019-06-25T11:30:07.022396Z","https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/110x140/15237.jpg",0,"0.1","0.4",0,0,0,0,0,0,0,0,0,0,3,3
